2025년_ [재적 학생 현황 (대학)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,학생정원,재학생(A),,,,,,,휴학생(B),,,,,,,학사학위취득유예학생(C),,,,,,,재적학생(D=A+B+C),,,,,,
,,,,,,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,
,,,,,,,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외
2025,대학교,사립,경기,기존,대진대학교,"6,936","7,751","6,247","1,504","3,390",809,"2,857",695,"2,698","2,526",172,"1,978",131,548,41,2,2,0,1,0,1,0,"10,451","8,775","1,676","5,369",940,"3,406",736
2025,대학교,사립,서울,기존,덕성여자대학교,"4,630","5,566","4,898",668,0,0,"4,898",668,785,722,63,0,0,722,63,216,207,9,0,0,207,9,"6,567","5,827",740,0,0,"5,827",740
2025,대학교,사립,경북,기존,동국대학교(WISE)_분교,"7,296","6,898","6,139",759,"3,336",396,"2,803",363,"2,921","2,743",178,"2,284",154,459,24,12,12,0,5,0,7,0,"9,831","8,894",937,"5,625",550,"3,269",387
2025,대학교,사립,서울,기존,동국대학교,"11,215","13,841","11,112","2,729","5,679","1,099","5,433","1,630","4,674","4,075",599,"3,000",409,"1,075",190,115,108,7,36,2,72,5,"18,630","15,295","3,335","8,715","1,510","6,580","1,825"
2025,대학교,사립,서울,기존,동덕여자대학교,"6,308","6,392","5,560",832,0,8,"5,560",824,"1,665","1,551",114,0,0,"1,551",114,299,273,26,0,0,273,26,"8,356","7,384",972,0,8,"7,384",964
2025,대학교,사립,부산,기존,동명대학교,"6,181","6,761","5,499","1,262","2,795",731,"2,704",531,"2,155","2,029",126,"1,616",87,413,39,43,41,2,23,2,18,0,"8,959","7,569","1,390","4,434",820,"3,135",570
2025,대학교,사립,부산,기존,동서대학교,"8,420","8,582","7,599",983,"3,516",329,"4,083",654,"2,602","2,431",171,"1,829",130,602,41,78,77,1,34,1,43,0,"11,262","10,107","1,155","5,379",460,"4,728",695
2025,대학교,사립,전남,기존,동신대학교,"5,962","5,571","4,804",767,"2,483",368,"2,321",399,"1,023",962,61,845,52,117,9,19,19,0,11,0,8,0,"6,613","5,785",828,"3,339",420,"2,446",408
2025,대학교,사립,부산,기존,동아대학교,"16,486","17,634","15,906","1,728","7,668",854,"8,238",874,"6,244","5,792",452,"4,428",351,"1,364",101,381,349,32,155,17,194,15,"24,259","22,047","2,212","12,251","1,222","9,796",990
2025,대학교,사립,경북,기존,동양대학교,"4,000","4,241","3,667",574,"2,378",432,"1,289",142,953,897,56,790,46,107,10,12,12,0,9,0,3,0,"5,206","4,576",630,"3,177",478,"1,399",152
2025,대학교,사립,부산,기존,동의대학교,"14,320","14,302","12,684","1,618","6,974",904,"5,710",714,"5,069","4,696",373,"3,935",310,761,63,69,65,4,24,2,41,2,"19,440","17,445","1,995","10,933","1,216","6,512",779
2025,사이버대학(대학),사립,서울,기존,디지털서울문화예술대학교,"3,530","2,854","2,444",410,899,314,"1,545",96,616,525,91,282,78,243,13,0,0,0,0,0,0,0,"3,470","2,969",501,"1,181",392,"1,788",109
2025,대학교,사립,경기,기존,루터대학교,340,300,295,5,123,3,172,2,59,59,0,45,0,14,0,0,0,0,0,0,0,0,359,354,5,168,3,186,2
2025,대학교,사립,경기,기존,명지대학교,"5,283","5,741","5,264",477,"3,232",321,"2,032",156,"2,187","2,047",140,"1,737",119,310,21,138,129,9,59,6,70,3,"8,066","7,440",626,"5,028",446,"2,412",180
2025,대학교,사립,서울,기존,명지대학교_제2캠퍼스,"5,052","7,530","5,033","2,497","2,244",872,"2,789","1,625","2,171","1,770",401,"1,200",206,570,195,242,208,34,67,8,141,26,"9,943","7,011","2,932","3,511","1,086","3,500","1,846"
2025,대학교,사립,대전,기존,목원대학교,"7,322","7,390","6,688",702,"3,446",344,"3,242",358,"1,952","1,860",92,"1,509",77,351,15,11,11,0,6,0,5,0,"9,353","8,559",794,"4,961",421,"3,598",373
2025,대학교,사립,전남,기존,목포가톨릭대학교,480,463,434,29,82,3,352,26,50,46,4,25,3,21,1,0,0,0,0,0,0,0,513,480,33,107,6,373,27
2025,대학교,사립,대전,기존,배재대학교,"7,503","7,344","6,708",636,"3,812",315,"2,896",321,"2,036","1,939",97,"1,727",87,212,10,31,29,2,18,0,11,2,"9,411","8,676",735,"5,557",402,"3,119",333
2025,대학교,사립,충남,기존,백석대학교,"11,460","11,574","10,430","1,144","4,615",513,"5,815",631,"3,588","3,354",234,"2,746",183,608,51,47,43,4,17,2,26,2,"15,209","13,827","1,382","7,378",698,"6,449",684
2025,대학교,사립,부산,기존,부산가톨릭대학교,"2,836","3,449","2,706",743,"1,038",264,"1,668",479,616,556,60,473,40,83,20,6,6,0,4,0,2,0,"4,071","3,268",803,"1,515",304,"1,753",499
2025,교육대학,국립,부산,기존,부산교육대학교,"1,381","1,368","1,252",116,372,42,880,74,38,34,4,20,3,14,1,0,0,0,0,0,0,0,"1,406","1,286",120,392,45,894,75
2025,대학교,국립,부산,기존,부산대학교,"17,645","19,900","18,091","1,809","9,877",770,"8,214","1,039","6,219","5,796",423,"4,667",298,"1,129",125,315,292,23,138,10,154,13,"26,434","24,179","2,255","14,682","1,078","9,497","1,177"
2025,사이버대학(대학),사립,부산,기존,부산디지털대학교,"2,780","2,859","2,511",348,596,108,"1,915",240,350,312,38,87,7,225,31,0,0,0,0,0,0,0,"3,209","2,823",386,683,115,"2,140",271
2025,대학교,사립,부산,기존,부산외국어대학교,"6,070","6,471","5,524",947,"2,644",466,"2,880",481,"2,659","2,493",166,"1,838",121,655,45,87,83,4,22,1,61,3,"9,217","8,100","1,117","4,504",588,"3,596",529
2025,대학교,사립,경남,기존,부산장신대학교,128,125,124,1,42,1,82,0,18,18,0,10,0,8,0,0,0,0,0,0,0,0,143,142,1,52,1,90,0
2025,사이버대학(대학),사립,서울,기존,사이버한국외국어대학교,"4,940","6,390","4,674","1,716","1,344",696,"3,330","1,020","1,411","1,028",383,297,136,731,247,0,0,0,0,0,0,0,"7,801","5,702","2,099","1,641",832,"4,061","1,267"
